City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bengkulu,ID,2023-01-28 17:48:21,-3.8004,102.2655,76.21,88,100,10.8
1,Busselton,AU,2023-01-28 17:48:21,-33.65,115.3333,56.95,74,30,13.69
2,Rikitea,PF,2023-01-28 17:48:21,-23.1203,-134.9692,78.55,74,57,11.48
3,Goulburn,AU,2023-01-28 17:48:22,-34.75,149.7167,68.52,64,83,4.38
4,Los Andes,CL,2023-01-28 17:48:22,-32.8337,-70.5983,88.29,16,0,8.63
5,Avarua,CK,2023-01-28 17:48:22,-21.2078,-159.775,80.65,78,39,9.22
6,Ushuaia,AR,2023-01-28 17:45:22,-54.8,-68.3,60.42,51,20,26.46
7,Mastic Beach,US,2023-01-28 17:48:23,40.7668,-72.8521,52.57,58,0,20.0
8,Shuyskoye,RU,2023-01-28 17:48:23,59.3736,41.0305,8.26,96,57,6.15
9,Mar Del Plata,AR,2023-01-28 17:46:41,-38.0023,-57.5575,80.83,79,20,13.8
10,Bredasdorp,ZA,2023-01-28 17:48:23,-34.5322,20.0403,62.76,60,100,12.08
11,Beringovskiy,RU,2023-01-28 17:48:24,63.05,179.3167,13.37,98,85,6.64
12,New Norfolk,AU,2023-01-28 17:48:24,-42.7826,147.0587,60.71,54,56,1.01
13,Hasaki,JP,2023-01-28 17:48:24,35.7333,140.8333,27.0,46,48,13.0
14,Chuy,UY,2023-01-28 17:48:25,-33.6971,-53.4616,76.78,76,98,3.65
15,Ahuimanu,US,2023-01-28 17:48:25,21.4447,-157.8378,71.31,90,75,6.91
16,Nhulunbuy,AU,2023-01-28 17:48:26,-12.2333,136.7667,77.61,94,100,0.0
17,Dunedin,NZ,2023-01-28 17:43:32,-45.8742,170.5036,56.8,79,11,1.99
18,Sosnogorsk,RU,2023-01-28 17:48:26,63.6023,53.8817,18.63,94,100,9.28
19,Adrar,MR,2023-01-28 17:48:26,20.5022,-10.0711,65.34,30,38,8.81
20,Port Elizabeth,ZA,2023-01-28 17:48:27,-33.918,25.5701,64.69,94,100,14.97
21,Tuatapere,NZ,2023-01-28 17:48:27,-46.1333,167.6833,51.48,88,6,2.13
22,Punta Arenas,CL,2023-01-28 17:45:01,-53.15,-70.9167,64.51,42,40,29.93
23,Esperance,AU,2023-01-28 17:48:27,-33.8667,121.9,59.52,68,0,8.37
24,Chauk,MM,2023-01-28 17:48:28,20.8833,94.8167,74.73,42,1,2.1
25,Cape Town,ZA,2023-01-28 17:43:59,-33.9258,18.4232,66.11,56,20,25.32
26,Longyearbyen,SJ,2023-01-28 17:48:28,78.2186,15.6401,24.64,68,40,20.71
27,Bandarbeyla,SO,2023-01-28 17:48:28,9.4942,50.8122,76.23,71,50,22.19
28,Necochea,AR,2023-01-28 17:48:29,-38.5473,-58.7368,79.86,55,7,15.1
29,Kavieng,PG,2023-01-28 17:48:29,-2.5744,150.7967,81.48,78,16,10.07
30,Springbok,ZA,2023-01-28 17:48:29,-29.6643,17.8865,67.06,55,0,11.25
31,Nemuro,JP,2023-01-28 17:48:29,43.3236,145.575,16.2,68,75,23.91
32,Riyadh,SA,2023-01-28 17:44:12,24.6877,46.7219,55.54,35,0,5.64
33,Mataura,NZ,2023-01-28 17:48:30,-46.1927,168.8643,48.81,97,0,1.3
34,Atuona,PF,2023-01-28 17:48:30,-9.8,-139.0333,78.64,79,93,20.78
35,Torbay,CA,2023-01-28 17:48:30,47.6666,-52.7314,31.28,65,20,8.05
36,Bluff,NZ,2023-01-28 17:48:31,-46.6,168.3333,56.82,82,27,7.34
37,Naze,JP,2023-01-28 17:48:31,28.3667,129.4833,47.32,66,97,12.01
38,Norman Wells,CA,2023-01-28 17:48:31,65.282,-126.8329,-25.56,75,20,6.91
39,Bambari,CF,2023-01-28 17:48:32,5.768,20.6757,89.02,20,68,3.2
40,Aswan,EG,2023-01-28 17:48:32,24.0934,32.907,79.9,24,0,3.44
41,Ribeira Grande,PT,2023-01-28 17:48:32,38.5167,-28.7,61.2,67,40,13.8
42,Gikongoro,RW,2023-01-28 17:48:33,-2.464,29.5739,60.76,72,2,3.29
43,Aklavik,CA,2023-01-28 17:48:33,68.2191,-135.0107,-18.4,76,0,8.05
44,Tuktoyaktuk,CA,2023-01-28 17:48:33,69.4541,-133.0374,-20.2,76,0,11.5
45,Taltal,CL,2023-01-28 17:48:33,-25.4,-70.4833,72.54,70,28,7.47
46,Tigre,AR,2023-01-28 17:48:34,-34.426,-58.5796,91.22,62,40,8.05
47,Kholmogory,RU,2023-01-28 17:48:34,64.2229,41.656,23.13,85,100,11.9
48,Husavik,IS,2023-01-28 17:49:34,66.0449,-17.3389,35.82,88,89,6.2
49,Dakar,SN,2023-01-28 17:46:07,14.6937,-17.4441,86.88,62,45,20.4
50,Carnarvon,AU,2023-01-28 17:49:35,-24.8667,113.6333,75.33,77,0,20.04
51,Chokurdakh,RU,2023-01-28 17:49:35,70.6333,147.9167,-36.4,100,92,3.0
52,Bilma,NE,2023-01-28 17:49:35,18.6853,12.9164,80.85,10,100,6.62
53,Samarai,PG,2023-01-28 17:49:36,-10.6167,150.6667,82.51,78,70,10.11
54,Yumen,CN,2023-01-28 17:49:36,40.2833,97.2,15.67,37,17,11.48
55,Thompson,CA,2023-01-28 17:45:40,55.7435,-97.8558,-18.24,63,75,9.22
56,Kamaishi,JP,2023-01-28 17:49:36,39.2667,141.8833,23.49,67,66,15.75
57,Flinders,AU,2023-01-28 17:49:37,-34.5833,150.8552,75.38,90,88,5.01
58,Batemans Bay,AU,2023-01-28 17:49:37,-35.7167,150.1833,75.09,96,96,2.59
59,Nakamura,JP,2023-01-28 17:49:37,32.9833,132.9333,29.21,92,55,2.06
60,Balikpapan,ID,2023-01-28 17:49:38,-1.2675,116.8289,79.79,83,40,2.3
61,Vaini,TO,2023-01-28 17:49:38,-21.2,-175.2,77.16,94,75,6.91
62,Hithadhoo,MV,2023-01-28 17:49:38,-0.6,73.0833,81.36,77,75,12.73
63,Biltine,TD,2023-01-28 17:49:38,14.5333,20.9167,84.31,9,70,6.31
64,Riohacha,CO,2023-01-28 17:49:39,11.5444,-72.9072,89.71,37,20,23.02
65,Havelock,US,2023-01-28 17:49:39,34.8791,-76.9013,62.55,40,20,4.61
66,Springdale,US,2023-01-28 17:48:52,36.1867,-94.1288,53.08,74,100,19.57
67,Barrow,US,2023-01-28 17:49:39,71.2906,-156.7887,-9.38,77,75,14.97
68,Koumac,NC,2023-01-28 17:49:40,-20.5667,164.2833,77.36,86,100,2.91
69,Qaanaaq,GL,2023-01-28 17:49:40,77.484,-69.3632,-3.28,59,7,9.04
